1、不做处理时
内存数据变化：
	4.99269485473632,	4.98945999145507,	4.98317718505859,	4.99202728271484,	4.98688507080078,	4.98490905761718,	5.16588973999023,	5.37707901000976,	5.63764953613281,	5.67367553710937,	5.68843460083007,	5.69052124023437,	5.69482040405273,	5.69282531738281,	5.69475173950195,	5.6955223083496,	5.69425201416015,	5.69521331787109,	5.69987869262695,	5.71728515625,	5.71906280517578,	5.73315048217773,	5.73309707641601,	5.74259185791015,	5.73816299438476,	5.73670196533203,	5.73627090454101,	5.73609542846679,	5.73591613769531,	5.73465728759765,	5.73094940185546,	5.73171234130859,	5.73160171508789,	5.73134613037109,	5.73103713989257,	5.73118209838867,	5.73114395141601,	5.7314338684082,	5.74026489257812,	5.73832321166992,	5.74665451049804,	5.74645614624023,	5.74328994750976,	5.7400894165039,	5.73957824707031,	5.74415588378906,	5.74337005615234,	5.74312210083007,	5.74195861816406,	5.74124526977539,
耗时：
开始时间：508780737070400, 结束时间：508781339633200, 耗时：0.6025628s
开始时间：508792676826500, 结束时间：508792833316800, 耗时：0.1564903s
开始时间：508748465792300, 结束时间：508749614014400, 耗时：1.1482221s
开始时间：508738402406500, 结束时间：508739135383000, 耗时：0.7329765s
开始时间：508756852800200, 结束时间：508757814168200, 耗时：0.961368s
开始时间：508792052123500, 结束时间：508792262711300, 耗时：0.2105878s
开始时间：508770557451700, 结束时间：508771308026400, 耗时：0.7505747s
开始时间：508768808095800, 结束时间：508769741815100, 耗时：0.9337193s
开始时间：508778821491800, 结束时间：508779470628900, 耗时：0.6491371s
开始时间：508739552456400, 结束时间：508739877521300, 耗时：0.3250649s
开始时间：508764447666900, 结束时间：508765322336800, 耗时：0.8746699s
开始时间：508775988377000, 结束时间：508776739221000, 耗时：0.750844s
开始时间：508757814180800, 结束时间：508758811605400, 耗时：0.9974246s
开始时间：508739135393000, 结束时间：508739255732700, 耗时：0.1203397s
开始时间：508783089243700, 结束时间：508783676224000, 耗时：0.5869803s
开始时间：508765322353400, 结束时间：508766244112200, 耗时：0.9217588s
开始时间：508779470643600, 结束时间：508780108102500, 耗时：0.6374589s
开始时间：508772148485300, 结束时间：508772962211700, 耗时：0.8137264s
开始时间：508790691087600, 结束时间：508790973438600, 耗时：0.282351s
开始时间：508788490454200, 结束时间：508788925312800, 耗时：0.4348586s
开始时间：508762635785600, 结束时间：508763524949200, 耗时：0.8891636s
开始时间：508773708441500, 结束时间：508774472941300, 耗时：0.7644998s
开始时间：508774472954400, 结束时间：508775172894800, 耗时：0.6999404s
开始时间：508768003994500, 结束时间：508768808084800, 耗时：0.8040903s
